Year,Month,Variable,eco1
1800,1,CO2,327.1633837299962
1800,2,CO2,327.7718695363691
1800,3,CO2,327.14878590901696
1800,4,CO2,324.76931688862464
1800,5,CO2,320.9431208948935
1800,6,CO2,317.0891302785566
1800,7,CO2,316.0282947171119
1800,8,CO2,318.4496720837009
1800,9,CO2,322.11654113441386
1800,10,CO2,324.8085964572045
1800,11,CO2,326.4075451102308
1800,12,CO2,326.99342592300906
1801,1,CO2,327.1633837299962
1801,2,CO2,327.7718695363691
1801,3,CO2,327.14878590901696
1801,4,CO2,324.76931688862464
1801,5,CO2,320.9431208948935
1801,6,CO2,317.0891302785566
1801,7,CO2,316.0282947171119
1801,8,CO2,318.4496720837009
1801,9,CO2,322.11654113441386
1801,10,CO2,324.8085964572045
1801,11,CO2,326.4075451102308
1801,12,CO2,326.99342592300906
1802,1,CO2,327.1633837299962
1802,2,CO2,327.7718695363691
1802,3,CO2,327.14878590901696
1802,4,CO2,324.76931688862464
1802,5,CO2,320.9431208948935
1802,6,CO2,317.0891302785566
1802,7,CO2,316.0282947171119
1802,8,CO2,318.4496720837009
1802,9,CO2,322.11654113441386
1802,10,CO2,324.8085964572045
1802,11,CO2,326.4075451102308
1802,12,CO2,326.99342592300906
1803,1,CO2,327.1633837299962
1803,2,CO2,327.7718695363691
1803,3,CO2,327.14878590901696
1803,4,CO2,324.76931688862464
1803,5,CO2,320.9431208948935
1803,6,CO2,317.0891302785566
1803,7,CO2,316.0282947171119
1803,8,CO2,318.4496720837009
1803,9,CO2,322.11654113441386
1803,10,CO2,324.8085964572045
1803,11,CO2,326.4075451102308
1803,12,CO2,326.99342592300906
1804,1,CO2,327.1633837299962
1804,2,CO2,327.7718695363691
1804,3,CO2,327.14878590901696
1804,4,CO2,324.76931688862464
1804,5,CO2,320.9431208948935
1804,6,CO2,317.0891302785566
1804,7,CO2,316.0282947171119
1804,8,CO2,318.4496720837009
1804,9,CO2,322.11654113441386
1804,10,CO2,324.8085964572045
1804,11,CO2,326.4075451102308
1804,12,CO2,326.99342592300906
1805,1,CO2,327.1633837299962
1805,2,CO2,327.7718695363691
1805,3,CO2,327.14878590901696
1805,4,CO2,324.76931688862464
1805,5,CO2,320.9431208948935
1805,6,CO2,317.0891302785566
1805,7,CO2,316.0282947171119
1805,8,CO2,318.4496720837009
1805,9,CO2,322.11654113441386
1805,10,CO2,324.8085964572045
1805,11,CO2,326.4075451102308
1805,12,CO2,326.99342592300906
1806,1,CO2,327.1633837299962
1806,2,CO2,327.7718695363691
1806,3,CO2,327.14878590901696
1806,4,CO2,324.76931688862464
1806,5,CO2,320.9431208948935
1806,6,CO2,317.0891302785566
1806,7,CO2,316.0282947171119
1806,8,CO2,318.4496720837009
1806,9,CO2,322.11654113441386
1806,10,CO2,324.8085964572045
1806,11,CO2,326.4075451102308
1806,12,CO2,326.99342592300906
1807,1,CO2,327.1633837299962
1807,2,CO2,327.7718695363691
1807,3,CO2,327.14878590901696
1807,4,CO2,324.76931688862464
1807,5,CO2,320.9431208948935
1807,6,CO2,317.0891302785566
1807,7,CO2,316.0282947171119
1807,8,CO2,318.4496720837009
1807,9,CO2,322.11654113441386
1807,10,CO2,324.8085964572045
1807,11,CO2,326.4075451102308
1807,12,CO2,326.99342592300906
1808,1,CO2,327.1633837299962
1808,2,CO2,327.7718695363691
1808,3,CO2,327.14878590901696
1808,4,CO2,324.76931688862464
1808,5,CO2,320.9431208948935
1808,6,CO2,317.0891302785566
1808,7,CO2,316.0282947171119
1808,8,CO2,318.4496720837009
1808,9,CO2,322.11654113441386
1808,10,CO2,324.8085964572045
1808,11,CO2,326.4075451102308
1808,12,CO2,326.99342592300906
1809,1,CO2,327.1633837299962
1809,2,CO2,327.7718695363691
1809,3,CO2,327.14878590901696
1809,4,CO2,324.76931688862464
1809,5,CO2,320.9431208948935
1809,6,CO2,317.0891302785566
1809,7,CO2,316.0282947171119
1809,8,CO2,318.4496720837009
1809,9,CO2,322.11654113441386
1809,10,CO2,324.8085964572045
1809,11,CO2,326.4075451102308
