year,month,day,Variable,eco1
1950,1,1,PAR,37.53577423095703
1950,1,2,PAR,108.75700378417969
1950,1,3,PAR,72.96585083007812
1950,1,4,PAR,110.86573028564453
1950,1,5,PAR,92.96080780029297
1950,1,6,PAR,110.14962768554688
1950,1,7,PAR,156.98191833496094
1950,1,8,PAR,160.75942993164062
1950,1,9,PAR,132.2479248046875
1950,1,10,PAR,143.21421813964844
1950,1,11,PAR,35.25642395019531
1950,1,12,PAR,168.9357452392578
1950,1,13,PAR,165.88858032226562
1950,1,14,PAR,172.0460205078125
1950,1,15,PAR,155.41842651367188
1950,1,16,PAR,184.03411865234375
1950,1,17,PAR,80.8956527709961
1950,1,18,PAR,128.62876892089844
1950,1,19,PAR,159.53973388671875
1950,1,20,PAR,154.04803466796875
1950,1,21,PAR,123.35978698730469
1950,1,22,PAR,144.5537872314453
1950,1,23,PAR,76.18728637695312
1950,1,24,PAR,91.1985092163086
1950,1,25,PAR,210.3248748779297
1950,1,26,PAR,125.8178482055664
1950,1,27,PAR,139.48081970214844
1950,1,28,PAR,211.89161682128906
1950,1,29,PAR,209.80955505371094
1950,1,30,PAR,75.56510925292969
1950,1,31,PAR,223.5495147705078
1950,2,1,PAR,124.65145111083984
1950,2,2,PAR,73.26850891113281
1950,2,3,PAR,89.31172180175781
1950,2,4,PAR,94.14180755615234
1950,2,5,PAR,18.842233657836914
1950,2,6,PAR,76.60223388671875
1950,2,7,PAR,249.41851806640625
1950,2,8,PAR,150.59312438964844
1950,2,9,PAR,144.01373291015625
1950,2,10,PAR,214.6815948486328
1950,2,11,PAR,230.30264282226562
1950,2,12,PAR,188.2195281982422
1950,2,13,PAR,191.49440002441406
1950,2,14,PAR,246.484130859375
1950,2,15,PAR,162.1258544921875
1950,2,16,PAR,289.2898254394531
1950,2,17,PAR,71.33502960205078
1950,2,18,PAR,94.54220581054688
1950,2,19,PAR,304.2950439453125
1950,2,20,PAR,85.11791229248047
1950,2,21,PAR,131.971923828125
1950,2,22,PAR,309.2953796386719
1950,2,23,PAR,326.4313659667969
1950,2,24,PAR,285.70404052734375
1950,2,25,PAR,207.69827270507812
1950,2,26,PAR,350.3450927734375
1950,2,27,PAR,289.2371520996094
1950,2,28,PAR,329.0660095214844
1950,3,1,PAR,365.438232421875
1950,3,2,PAR,273.59039306640625
1950,3,3,PAR,198.0310516357422
1950,3,4,PAR,372.096435546875
1950,3,5,PAR,381.198486328125
1950,3,6,PAR,171.82904052734375
1950,3,7,PAR,209.36538696289062
1950,3,8,PAR,354.07696533203125
1950,3,9,PAR,409.7775573730469
1950,3,10,PAR,194.7579345703125
1950,3,11,PAR,219.43321228027344
1950,3,12,PAR,375.95965576171875
1950,3,13,PAR,408.9754333496094
1950,3,14,PAR,272.9375
1950,3,15,PAR,433.4681701660156
1950,3,16,PAR,323.832275390625
1950,3,17,PAR,173.41751098632812
1950,3,18,PAR,384.0438232421875
1950,3,19,PAR,165.28958129882812
1950,3,20,PAR,147.29103088378906
1950,3,21,PAR,316.3083190917969
1950,3,22,PAR,372.11260986328125
1950,3,23,PAR,429.8177490234375
1950,3,24,PAR,491.4551086425781
1950,3,25,PAR,460.38824462890625
1950,3,26,PAR,480.86444091796875
1950,3,27,PAR,315.42474365234375
1950,3,28,PAR,255.51173400878906
1950,3,29,PAR,464.1384582519531
1950,3,30,PAR,519.8370361328125
1950,3,31,PAR,510.7914733886719
1950,4,1,PAR,467.4261169433594
1950,4,2,PAR,25.08819007873535
1950,4,3,PAR,67.87157440185547
1950,4,4,PAR,496.8930358886719
1950,4,5,PAR,549.1580810546875
1950,4,6,PAR,520.62646484375
