Year,Month,Variable,eco1
1950,1,PAR,220.7048193594381
1950,2,PAR,395.3762237595094
1950,3,PAR,633.3889791785429
1950,4,PAR,912.2601315043912
1950,5,PAR,1025.9804254459275
1950,6,PAR,997.0652501072204
1950,7,PAR,1041.8770132400591
1950,8,PAR,787.2876888774628
1950,9,PAR,688.7528146658182
1950,10,PAR,398.50692164311033
1950,11,PAR,230.69481524578177
1950,12,PAR,218.7754274097
1951,1,PAR,216.74780412694255
1951,2,PAR,366.61359328213535
1951,3,PAR,684.0117896144034
1951,4,PAR,887.456237421071
1951,5,PAR,911.572366761116
1951,6,PAR,1009.335410982357
1951,7,PAR,978.182373152616
1951,8,PAR,795.7685949245966
1951,9,PAR,709.8071827615563
1951,10,PAR,312.09325080751626
1951,11,PAR,252.30479858751204
1951,12,PAR,195.95842058780283
1952,1,PAR,216.3893104459873
1952,2,PAR,402.3401859276952
1952,3,PAR,583.2848639055176
1952,4,PAR,896.4252485040989
1952,5,PAR,1097.518285223304
1952,6,PAR,899.2131934394658
1952,7,PAR,1055.577228496039
1952,8,PAR,787.5882412206505
1952,9,PAR,576.1562816173689
1952,10,PAR,374.6522859187931
1952,11,PAR,237.98679797075627
1952,12,PAR,167.8727718370721
1953,1,PAR,247.6424392957155
1953,2,PAR,443.93666076148526
1953,3,PAR,598.2842518857165
1953,4,PAR,738.2449606455772
1953,5,PAR,922.3614899877564
1953,6,PAR,910.7915601988464
1953,7,PAR,1155.9665586429558
1953,8,PAR,972.987213219978
1953,9,PAR,578.9281614312437
1953,10,PAR,452.2532603781962
1953,11,PAR,216.14230947688267
1953,12,PAR,186.55372415876727
1954,1,PAR,231.65511124047185
1954,2,PAR,392.3247147053754
1954,3,PAR,736.6410754270818
1954,4,PAR,856.1306141294789
1954,5,PAR,911.3114937977048
1954,6,PAR,962.8401274799028
1954,7,PAR,1010.2740000398336
1954,8,PAR,838.374889702585
1954,9,PAR,536.2313222325175
1954,10,PAR,346.0879860630331
1954,11,PAR,243.63051737999984
1954,12,PAR,207.0690021861016
1955,1,PAR,233.0909477491373
1955,2,PAR,366.23960808658666
1955,3,PAR,730.1398945496987
1955,4,PAR,894.2693274854616
1955,5,PAR,869.8414531376255
1955,6,PAR,884.0995611332843
1955,7,PAR,967.831725335367
1955,8,PAR,913.7749629887312
1955,9,PAR,705.2985744288919
