Year,Month,Variable,eco1
1950,1,CO2,351.56706953782304
1950,2,CO2,352.007202344063
1950,3,CO2,350.9956563705053
1950,4,CO2,348.18658552903395
1950,5,CO2,344.09215295253654
1950,6,CO2,340.1376001993815
1950,7,CO2,339.5769783606896
1950,8,CO2,342.72429422231824
1950,9,CO2,346.814223812788
1950,10,CO2,349.77220834585336
1950,11,CO2,351.4233886327499
1950,12,CO2,352.0114260160006
1951,1,CO2,351.56706953782304
1951,2,CO2,352.007202344063
1951,3,CO2,350.9956563705053
1951,4,CO2,348.18658552903395
1951,5,CO2,344.09215295253654
1951,6,CO2,340.1376001993815
1951,7,CO2,339.5769783606896
1951,8,CO2,342.72429422231824
1951,9,CO2,346.814223812788
1951,10,CO2,349.77220834585336
1951,11,CO2,351.4233886327499
1951,12,CO2,352.0114260160006
1952,1,CO2,351.56706953782304
1952,2,CO2,352.007202344063
1952,3,CO2,350.9956563705053
1952,4,CO2,348.18658552903395
1952,5,CO2,344.09215295253654
1952,6,CO2,340.1376001993815
1952,7,CO2,339.5769783606896
1952,8,CO2,342.72429422231824
1952,9,CO2,346.814223812788
1952,10,CO2,349.77220834585336
1952,11,CO2,351.4233886327499
1952,12,CO2,352.0114260160006
1953,1,CO2,351.56706953782304
1953,2,CO2,352.007202344063
1953,3,CO2,350.9956563705053
1953,4,CO2,348.18658552903395
1953,5,CO2,344.09215295253654
1953,6,CO2,340.1376001993815
1953,7,CO2,339.5769783606896
1953,8,CO2,342.72429422231824
1953,9,CO2,346.814223812788
1953,10,CO2,349.77220834585336
1953,11,CO2,351.4233886327499
1953,12,CO2,352.0114260160006
1954,1,CO2,351.56706953782304
1954,2,CO2,352.007202344063
1954,3,CO2,350.9956563705053
1954,4,CO2,348.18658552903395
1954,5,CO2,344.09215295253654
1954,6,CO2,340.1376001993815
1954,7,CO2,339.5769783606896
1954,8,CO2,342.72429422231824
1954,9,CO2,346.814223812788
1954,10,CO2,349.77220834585336
1954,11,CO2,351.4233886327499
1954,12,CO2,352.0114260160006
1955,1,CO2,351.56706953782304
1955,2,CO2,352.007202344063
1955,3,CO2,350.9956563705053
1955,4,CO2,348.18658552903395
1955,5,CO2,344.09215295253654
1955,6,CO2,340.1376001993815
1955,7,CO2,339.5769783606896
1955,8,CO2,342.72429422231824
1955,9,CO2,346.814223812788
1955,10,CO2,349.77220834585336
1955,11,CO2,351.4233886327499
1955,12,CO2,352.0114260160006
1956,1,CO2,351.56706953782304
1956,2,CO2,352.007202344063
1956,3,CO2,350.9956563705053
1956,4,CO2,348.18658552903395
1956,5,CO2,344.09215295253654
1956,6,CO2,340.1376001993815
1956,7,CO2,339.5769783606896
1956,8,CO2,342.72429422231824
1956,9,CO2,346.814223812788
1956,10,CO2,349.77220834585336
1956,11,CO2,351.4233886327499
1956,12,CO2,352.0114260160006
1957,1,CO2,351.56706953782304
1957,2,CO2,352.007202344063
1957,3,CO2,350.9956563705053
1957,4,CO2,348.18658552903395
1957,5,CO2,344.09215295253654
1957,6,CO2,340.1376001993815
1957,7,CO2,339.5769783606896
1957,8,CO2,342.72429422231824
1957,9,CO2,346.814223812788
1957,10,CO2,349.77220834585336
