LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Niinemets	Ülo	49	Tree Tolerance Database	Abies balsamea	32	Abies balsamea	14338	426776	603	Species tolerance to shade	208	Tolerance to shade (shade tolerance)	Shade tolerance 	5.01			0.09	Standard Error							Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.	species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%.		
Niinemets	Ülo	49	Tree Tolerance Database	Abies balsamea	32	Abies balsamea	14338	426777	30	Species tolerance to drought	34	Tolerance to drought	Drought tolerance 	1				Standard Error							Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.	species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance): 1, >600 mm precipitation with little variation during growing season, P:PET ratio of .3.0, few days of drought, and greater than  0.3 Mpa soil water potential; 2, 500–600 mm precipitation, variation of precipitation distribution during growing season characterized by coefficient of variation ,10%, P:PET ratio of 1.5:3 , few weeks of drought, and from  0.3 to  0.8 Mpa soil water potential; 3, 400–500 mm precipitation with a growing season coefficient of variation of 10–15%, P:PET ratio of 0.8:1.5, up to one month of drought, and from  0.8 to  1.5 Mpa soil water potential; 4, 300–400 mm precipitation with a growing season coefficient of variation of 20–25%, P:PET ratio of 0.5:0.8, two to three months of drought, and from  1.5 to  3 Mpa soil water potential; 5, ,300 mm precipitation with a growing season coefficient of variation >25%, P:PET ratio of ,0.5, more than three months of drought, and less than  3 Mpa soil water potential.		
Niinemets	Ülo	49	Tree Tolerance Database	Abies balsamea	32	Abies balsamea	14338	426778	61	Species tolerance to waterlogging	209	Tolerance to waterlogging	Waterlogging tolerance 	2				Standard Error							Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.	species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) according to Whitlow and Harris (1979): 5, very tolerant (survives deep, prolonged waterlogging for more than one year); 4, tolerant (survives deep waterlogging for one growing season); 3, moderately tolerant (survives waterlogging or saturated soils for 30 consecutive days during the growing season); 2, intolerant (tolerates one to two weeks of waterlogging during the growing season); 1, very intolerant (does not tolerate water-saturated soils for more than a few days during the growing season).		
Niinemets	Ülo	49	Tree Tolerance Database	Acer rubrum	859	Acer rubrum	14371	427007	603	Species tolerance to shade	208	Tolerance to shade (shade tolerance)	Shade tolerance 	3.44			0.23	Standard Error							Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.	species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%.		
Niinemets	Ülo	49	Tree Tolerance Database	Acer rubrum	859	Acer rubrum	14371	427008	30	Species tolerance to drought	34	Tolerance to drought	Drought tolerance 	1.84			0.16	Standard Error							Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.	species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance): 1, >600 mm precipitation with little variation during growing season, P:PET ratio of .3.0, few days of drought, and greater than  0.3 Mpa soil water potential; 2, 500–600 mm precipitation, variation of precipitation distribution during growing season characterized by coefficient of variation ,10%, P:PET ratio of 1.5:3 , few weeks of drought, and from  0.3 to  0.8 Mpa soil water potential; 3, 400–500 mm precipitation with a growing season coefficient of variation of 10–15%, P:PET ratio of 0.8:1.5, up to one month of drought, and from  0.8 to  1.5 Mpa soil water potential; 4, 300–400 mm precipitation with a growing season coefficient of variation of 20–25%, P:PET ratio of 0.5:0.8, two to three months of drought, and from  1.5 to  3 Mpa soil water potential; 5, ,300 mm precipitation with a growing season coefficient of variation >25%, P:PET ratio of ,0.5, more than three months of drought, and less than  3 Mpa soil water potential.		
Niinemets	Ülo	49	Tree Tolerance Database	Acer rubrum	859	Acer rubrum	14371	427009	61	Species tolerance to waterlogging	209	Tolerance to waterlogging	Waterlogging tolerance 	3.08			0.28	Standard Error							Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.	species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) according to Whitlow and Harris (1979): 5, very tolerant (survives deep, prolonged waterlogging for more than one year); 4, tolerant (survives deep waterlogging for one growing season); 3, moderately tolerant (survives waterlogging or saturated soils for 30 consecutive days during the growing season); 2, intolerant (tolerates one to two weeks of waterlogging during the growing season); 1, very intolerant (does not tolerate water-saturated soils for more than a few days during the growing season).		
Niinemets	Ülo	49	Tree Tolerance Database	Picea mariana	41927	Picea mariana	14739	429583	603	Species tolerance to shade	208	Tolerance to shade (shade tolerance)	Shade tolerance 	4.08			0.18	Standard Error							Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.	species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%.		
Niinemets	Ülo	49	Tree Tolerance Database	Picea mariana	41927	Picea mariana	14739	429584	30	Species tolerance to drought	34	Tolerance to drought	Drought tolerance 	2				Standard Error							Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.	species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance): 1, >600 mm precipitation with little variation during growing season, P:PET ratio of .3.0, few days of drought, and greater than  0.3 Mpa soil water potential; 2, 500–600 mm precipitation, variation of precipitation distribution during growing season characterized by coefficient of variation ,10%, P:PET ratio of 1.5:3 , few weeks of drought, and from  0.3 to  0.8 Mpa soil water potential; 3, 400–500 mm precipitation with a growing season coefficient of variation of 10–15%, P:PET ratio of 0.8:1.5, up to one month of drought, and from  0.8 to  1.5 Mpa soil water potential; 4, 300–400 mm precipitation with a growing season coefficient of variation of 20–25%, P:PET ratio of 0.5:0.8, two to three months of drought, and from  1.5 to  3 Mpa soil water potential; 5, ,300 mm precipitation with a growing season coefficient of variation >25%, P:PET ratio of ,0.5, more than three months of drought, and less than  3 Mpa soil water potential.		
Niinemets	Ülo	49	Tree Tolerance Database	Picea mariana	41927	Picea mariana	14739	429585	61	Species tolerance to waterlogging	209	Tolerance to waterlogging	Waterlogging tolerance 	2				Standard Error							Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.	species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) according to Whitlow and Harris (1979): 5, very tolerant (survives deep, prolonged waterlogging for more than one year); 4, tolerant (survives deep waterlogging for one growing season); 3, moderately tolerant (survives waterlogging or saturated soils for 30 consecutive days during the growing season); 2, intolerant (tolerates one to two weeks of waterlogging during the growing season); 1, very intolerant (does not tolerate water-saturated soils for more than a few days during the growing season).		
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221948	2337413	603	Species tolerance to shade	208	Tolerance to shade (shade tolerance)	Successional position/shade tolerance	late-successional		Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
