Species,MAT.q05,MAT.q95,MTWM.q05,MTWM.q95,MTCM.q05,MTCM.q95,AP.q05,AP.q95,PDQ.q05,PDQ.q95
Abies amabilis,2.15,9.05,16.75,23.15,-8.65,2.35,1835.3,4670.68,141.4,526.7
Abies balsamea,0.05,6.65,18.05,24.05,-21.75,-8.45,674.1,1869.8,74,389.3
Abies concolor,3.55,11.65,20.75,29.75,-13.35,-1.05,397.54,1736.5,20.24,153.86
Abies fraseri,5.15,11.025,18.65,25.45,-8.65,-3.35,719.4,2010.425,120.4,440.3
Abies grandis,4.25,11.45,17.35,27.75,-10.05,4.35,600.55,1881.6,65.3,239.3
Abies lasiocarpa,-1.25,4.65,17.05,23.65,-17.45,-9.35,629.05,1599.2,68.8,273.2
Abies magnifica,2.65,8.15,21.05,27.15,-10.85,-4.15,718.84,2030.48,31.97,116.4
Abies procera,4.25,9.95,15.35,24.15,-6.75,2.95,680.645,2980.165,104.39,318.13
Acer circinatum,5.85,11.75,19.75,28.05,-5.25,3.35,1042.3,2976.8,65.3,276.45
Acer grandidentatum,3.465,17.245,24.35,32.35,-13.835,2.35,356.62,892.135,36.93,142.02
Acer macrophyllum,8.65,14.65,18.15,31.15,-2.75,6.55,589.685,2640.185,6.6,256.2
Acer negundo,3.25,17.05,22.15,32.45,-17.05,4.95,462.2,1321.1,48.8,269
Acer pensylvanicum,3.35,11.15,20.25,27.45,-17.15,-3.95,922.5,1708.78,166,354.4
Acer platanoides,5.35,12.35,19.55,28.25,-9.55,1.35,599.3,1300.2,98.1,275.8
Acer rubrum,3.05,17.65,20.35,31.75,-17.55,3.45,864.4,1697,135.8,356.4
Acer saccharinum,6.95,13.75,23.15,30.45,-13.25,0.65,822.9,1271.4,95.3,276.2
Acer saccharum,3.25,12.25,21.05,28.25,-17.35,-3.35,892.395,1545.6,155.2,327.8
Acer spicatum,2.45,8.85,19.95,26.05,-19.15,-7.15,711.79,1678.91,61.4,345.7
Aesculus californica,12.75,16.95,19.55,34.35,2.15,7.55,436.695,1225.33,4.1,20.9
Aesculus flava,8.45,15.35,21.75,31.05,-6.15,1.05,877.1,1747.4,177.44,354.6
Aesculus glabra,7.55,19.05,26.05,34.325,-13.05,5.05,815.6,1333.95,75.325,272.2
Ailanthus altissima,9.35,16.35,22.15,31.35,-6.55,5.65,504.3,1486.8,42.8,278.8
Albizia julibrissin,11.55,20.15,25.65,34.25,-5.45,8.05,654.04,1747.85,56.3,318.9
Alnus glutinosa,5.95,12.35,17.75,25.65,-6.95,2.75,612,1524.7,101.1,290.2
Alnus incana,1.35,10.55,16.45,24.05,-14.15,0.55,643.02,1863.4,98.9,350.9
Alnus rhombifolia,10.05,17.85,22,34.35,-3.05,7.85,317.15,1870.9,4.2,66.7
Alnus rubra,7.35,11.35,16.45,25.55,-2.75,4.55,1057.69,3960.1,78.9,440.4
Amelanchier arborea,5.95,17.25,23.25,32.45,-14.25,2.75,862.3,1572.52,124.585,325.7
Amelanchier sp.,4.25,7.55,20.15,25.5,-16.55,-6.8,934.1,1689.5,189.15,348.8
Annona glabra,22.25,26.85,27.75,33.05,13.55,24.05,1128.895,3219.475,24.9,345.3
Arbutus menziesii,9.35,14.65,17.35,31.35,-0.55,6.85,639.7,2119.96,6.5,154.2
Asimina triloba,10.15,16.55,27.25,32.05,-7.05,1.85,983.2,1409.5,161.4,287.7
Avicennia germinans,22.25,27.25,28.05,33.35,13.55,25.65,619.9,2133.1,7.2,228.6
Betula alleghaniensis,2.65,8.85,20.25,26.05,-18.15,-7.75,887.8,1772.3,149,363.545
Betula lenta,7.55,13.25,23.85,29.15,-11.05,-1.95,1038.87,1594.865,204.5,339.3
Betula nigra,8.45,19.35,26.55,33.65,-10.95,6.15,877.1,1477.86,96.48,307.6
Betula occidentalis,-2.85,11.65,19.655,31.545,-21.945,-4.05,248.9,873.9,29.315,120.8
Betula papyrifera,0.85,6.75,19.75,24.95,-21.55,-9.35,594.6,1611.2,68.3,326.9
Betula pendula,2.75,11.45,17.75,24.35,-12.35,1.95,601.8,1577.6,98,310.5
Betula populifolia,5.15,10.75,20.45,27.85,-15.55,-4.65,1056.9,1653.7,201.9,346.4
Betula pubescens,0.65,10.75,15.05,23.55,-14.05,2.25,595.7,1943.3,94.5,336.8
Callitropsis nootkatensis,3.25,8.395,16.25,21.35,-7.15,1.95,2187.7,4706,167.14,530.8
Calocedrus decurrens,6.45,14.75,23.85,32.35,-6.45,3.25,468.5,2023.815,10.8,96.795
Carpinus caroliniana,6.55,19.35,24.95,33.55,-14.35,6.75,868.455,1565.39,89.355,317.8
Carya aquatica,16.55,20.05,31.65,34.05,0.62,7.35,1157.39,1806.52,228.4,382.35
Carya cordiformis,6.55,16.05,24.95,32.15,-14.35,0.85,862.1,1391.8,85.2,287.22
Carya glabra,9.25,18.85,25.75,32.65,-8.05,5.35,1002.58,1559.7,181.8,323.6
Carya illinoinensis,14.15,20.85,29.45,35.15,-2.35,8.45,555.35,1536.8,44,304.075
Carya laciniosa,9.55,17.45,27.25,32.75,-7.85,2.85,977,1466.9,123.6,298
Carya myristiciformis,15.215,18.885,30.18,33.685,0.45,5.685,1223.13,1539.84,239.45,322.37
Carya ovata,7.55,16.25,25.15,31.85,-11.95,1.35,894,1426.105,95.6,297.8
Carya pallida,13.45,18.97,28.25,32.75,-1.95,6.07,1137.64,1642.14,234.52,332.62
Carya texana,12.95,19.35,30.35,34.15,-3.65,5.55,1058.3,1469.25,166.39,303.73
