,Time,ACER.SAH_g/m2,AllSpp_g/m2
0,0,2,2
1,10,117,117
2,20,1475,1475
3,30,5062,5062
4,40,8883,8883
5,50,11816,11816
6,60,14342,14342
7,70,15838,15838
8,80,16547,16547
9,90,16863,16863
10,100,17197,17197
11,110,17268,17268
12,120,17349,17349
13,130,17505,17505
14,140,17523,17523
15,150,17531,17531
16,160,17348,17348
17,170,17280,17280
18,180,17221,17221
19,190,17240,17240
20,200,17190,17190
21,210,17254,17254
22,220,17168,17168
23,230,16926,16926
24,240,16531,16531
25,250,16178,16178
26,260,15675,15675
27,270,14914,14914
28,280,14228,14228
29,290,13421,13421
30,300,12600,12600
