,Time,PICE.MAR_g/m2,AllSpp_g/m2
0,0,2,2
1,10,46,46
2,20,417,417
3,30,1509,1509
4,40,3211,3211
5,50,5039,5039
6,60,8695,8695
7,70,11546,11546
8,80,13351,13351
9,90,14358,14358
10,100,14833,14833
11,110,14958,14958
12,120,14811,14811
13,130,14415,14415
14,140,13823,13823
15,150,13060,13060
16,160,12158,12158
17,170,11136,11136
18,180,10019,10019
19,190,8828,8828
20,200,7594,7594
21,210,6351,6351
22,220,5135,5135
23,230,3992,3992
24,240,0,0
25,250,0,0
26,260,0,0
27,270,0,0
28,280,0,0
29,290,0,0
30,300,0,0
