Species,HalfSat,TOwood,FracFol,SLWmax,FrActWd,FolN,TOfol,H3,H4,H1,H2,LeafOnMinT,PsnTMin,PsnTOpt,PsnTMax,Shade Tolerance,Drought Tolerance,Waterlogging Tolerance,Tree Type
Abies balsamea,134,0.03,0.07,145,0.00003,1,0.2,140,140,-1.5,3,1.9,0.8,16.8,27,5.01,1,2,Coniferous
Acer rubrum,181,0.037,0.014,73,0.000022,2.35,1,145,145,-2,2,2.4,1.75,25.5,32.2,3.44,1.84,3.08,Deciduous
Acer saccharum,149,0.03,0.016,70,0.000023,2.3,1,143,143,0,4,2.5,1.8,25.5,31,4.76,2.25,1.09,Deciduous
Betula alleghaniensis,181,0.032,0.013,67,0.000022,2.3,1,152,152,-0.75,3,2.5,1.8,21.7,30.5,3.17,3,2,Deciduous
Betula papyrifera,244,0.033,0.018,90,0.00003,2.8,1,145,145,0,4,1.75,0.5,16.5,28.5,1.54,2.02,1.25,Deciduous
Carya cordiformis,244,0.037,0.013,95,0.000022,2.7,1,160,160,-0.75,3,3,1.25,26.7,34,2.07,4,2.5,Deciduous
Fagus grandifolia,148,0.03,0.015,75,0.00002,2.2,1,140,140,0,4,2.2,1.7,26.7,34.2,4.75,1.5,1.5,Deciduous
Fraxinus americana,212.5,0.03,0.01,72,0.000022,2.5,1,145,145,-0.75,3,2.3,1.2,26.5,34.1,2.46,2.38,2.59,Deciduous
Fraxinus nigra,244,0.035,0.013,85,0.000026,2.4,1,136,136,-4.5,1.5,2.1,1,21,29.5,2.96,2,3.5,Deciduous
Fraxinus pennsylvanica,244,0.035,0.013,85,0.000026,2.4,1,152,152,-3.3,2,2.5,1.8,25.5,34.2,3.11,3.85,2.98,Deciduous
Larix laricina,275,0.033,0.011,81,0.000023,2.4,1,145,145,-3.5,1.5,1.5,0.175,18.5,29.9,0.98,2,3,Coniferous
Picea glauca,197,0.035,0.05,225,0.000022,1.3,0.2,152,152,0,4,1.5,0.175,15.1,26.6,4.15,2.88,1.02,Coniferous
Picea mariana,197,0.03,0.04,225,0.000022,1,0.18,138,138,-4.5,1.5,1.5,0.175,15.1,26.6,4.08,2,2,Coniferous
Pinus banksiana,250,0.03,0.06,260,0.000036,1.9,0.25,160,160,0,5,1.75,0.5,16,28.1,1.36,4,1,Coniferous
Pinus resinosa,228,0.029,0.045,240,0.000021,1.7,0.3,152,152,0,4,2.25,1.3,18.6,28.2,1.89,3,1,Coniferous
Pinus strobus,197,0.035,0.04,200,0.00002,1.5,0.33,152,152,-0.75,3,2.3,1.4,21.5,30,3.21,2.29,1.03,Coniferous
Populus balsamifera,275,0.04,0.018,86,0.00004,2.9,1,145,145,-0.5,4,1.6,0.3,15.1,29,1.27,1.77,2.63,Deciduous
Populus grandidentata,275,0.04,0.018,86,0.00004,2.9,1,152,152,-0.5,4,2.3,1.4,23.5,31,1.21,2.5,2,Deciduous
Populus tremuloides,275,0.04,0.018,86,0.00004,2.9,1,145,145,0,4,1.6,0.3,18.5,29.8,1.21,1.77,1.77,Deciduous
Prunus serotina,244,0.035,0.015,90,0.000028,3,1,152,152,0,4,2.8,2.2,26,34.5,2.46,3.02,1.06,Deciduous
Quercus alba,244,0.034,0.012,95,0.00002,2.8,1,160,160,0,4,3,1.25,26.7,34,2.85,3.56,1.43,Deciduous
Quercus ellipsoidalis,244,0.03,0.013,80,0.000027,2.8,1,160,160,0,4,2.5,1.8,25,33,Not found,Not found,Not found,Deciduous
Quercus macrocarpa,212.5,0.032,0.013,80,0.000022,2.5,1,160,160,-0.75,3,2.5,1.25,24.7,34,2.71,3.85,1.82,Deciduous
Quercus rubra,212.5,0.03,0.013,86,0.000019,2.7,1,152,152,0,4,2.5,1.25,25.6,34.1,2.75,2.88,1.12,Deciduous
Quercus velutina,212.5,0.03,0.014,80,0.000023,2.7,1,152,152,0,4,3.15,2.625,27,34.4,2.72,3,1.07,Deciduous
Thuja occidentalis,197,0.031,0.06,240,0.000024,0.9,0.33,152,152,-4.5,1.5,2.2,1.25,21.3,29.9,3.45,2.71,1.46,Coniferous
Tilia americana,181,0.03,0.013,67,0.000022,2.6,1,152,152,0,4,2.4,1.7,24,32.2,3.98,2.88,1.26,Deciduous
Tsuga canadensis,133,0.03,0.05,170,0.000018,1.4,0.3,140,140,0,4,2.5,1.8,21,29.5,4.83,1,1.25,Coniferous
Ulmus americana,212.5,0.03,0.01,73,0.000022,2.5,1,145,145,-3.5,1.5,2.25,1.3,26.3,35,3.14,2.92,2.46,Deciduous
